gene_id,length
NP_001313658.1,262
NP_001313671.1,432
NP_001313712.1,383
NP_001313729.1,322
NP_001313732.1,237
NP_001313733.1,313
NP_001313761.1,294
NP_001313782.1,234
NP_001313901.1,322
NP_001313996.2,293
NP_001314002.1,226
NP_001314009.1,360
NP_001314241.2,256
NP_001314273.1,254
NP_001314278.1,257
NP_001314333.1,249
NP_001314346.1,207
NP_001314377.1,271
NP_001314379.1,359
NP_001314438.1,367
NP_001314470.1,315
NP_001314513.2,302
NP_001314544.1,247
NP_001314639.1,300
NP_001314640.1,219
NP_001314647.1,236
XP_016665889.1,221
XP_016666216.1,278
XP_016666455.1,290
XP_016666456.1,290
XP_016666636.1,244
XP_016666975.1,234
XP_016666976.1,170
XP_016667150.1,444
XP_016667667.1,481
XP_016667750.1,342
XP_016668242.1,354
XP_016668340.1,212
XP_016668410.1,243
XP_016668457.2,281
XP_016668580.2,295
XP_016668730.2,295
XP_016669030.1,208
XP_016669207.1,321
XP_016669569.2,961
XP_016669766.2,580
XP_016669789.2,398
XP_016669800.1,285
XP_016670096.1,337
XP_016670212.2,283
XP_016670881.1,238
XP_016670915.1,244
XP_016671094.1,397
XP_016671119.1,300
XP_016671120.1,299
XP_016671186.1,551
XP_016671673.1,321
XP_016671854.2,212
XP_016671897.1,295
XP_016672005.1,534
XP_016672077.2,317
XP_016672334.2,257
XP_016672575.1,254
XP_016672712.1,243
XP_016672801.1,213
XP_016672956.1,299
XP_016673192.2,224
XP_016673537.1,297
XP_016673611.1,958
XP_016674344.1,276
XP_016674394.1,197
XP_016674587.1,436
XP_016674613.1,477
XP_016674614.1,476
XP_016674758.1,297
XP_016674759.1,297
XP_016674760.1,297
XP_016675131.2,265
XP_016675462.1,242
XP_016675463.2,248
XP_016675536.1,313
XP_016675537.1,332
XP_016675549.1,87
XP_016675555.1,285
XP_016675583.2,256
XP_016675596.1,258
XP_016675835.1,262
XP_016676099.1,293
XP_016676400.2,408
XP_016676657.1,226
XP_016677048.1,292
XP_016677072.2,979
XP_016677073.2,979
XP_016677339.1,354
XP_016677671.1,351
XP_016677949.1,339
XP_016679354.2,341
XP_016679585.2,1014
XP_016679586.2,844
XP_016679736.2,309
XP_016679904.2,314
XP_016679905.2,292
XP_016679990.1,145
XP_016680054.1,360
XP_016680480.1,356
XP_016680481.1,356
XP_016681431.1,274
XP_016681441.2,263
XP_016681523.1,248
XP_016681608.2,1057
XP_016681609.2,1057
XP_016681610.2,1057
XP_016681611.2,1020
XP_016681614.2,300
XP_016681927.2,329
XP_016682021.1,322
XP_016682108.1,344
XP_016682109.1,341
XP_016682318.1,205
XP_016682405.1,302
XP_016682496.1,247
XP_016683110.1,979
XP_016683111.1,979
XP_016683112.1,979
XP_016683540.1,233
XP_016683866.2,336
XP_016684430.1,188
XP_016684612.1,281
XP_016685607.1,568
XP_016686209.2,338
XP_016686263.2,332
XP_016686647.1,236
XP_016686648.1,233
XP_016686650.1,231
XP_016686653.2,206
XP_016686722.2,470
XP_016686750.1,556
XP_016686751.1,556
XP_016686752.1,556
XP_016686753.1,556
XP_016686896.1,284
XP_016686964.1,213
XP_016687177.1,340
XP_016687245.2,356
XP_016687436.1,262
XP_016687596.1,322
XP_016687916.1,464
XP_016687970.1,464
XP_016688378.1,193
XP_016688445.1,369
XP_016688505.1,353
XP_016689129.1,310
XP_016689707.2,408
XP_016689734.1,220
XP_016690362.1,359
XP_016690581.2,338
XP_016690934.2,299
XP_016690942.1,261
XP_016690953.1,251
XP_016691380.1,230
XP_016691508.2,342
XP_016691525.1,1027
XP_016691648.1,236
XP_016691860.1,290
XP_016691861.1,290
XP_016691862.1,290
XP_016692092.2,317
XP_016692279.1,255
XP_016693253.1,221
XP_016693412.1,444
XP_016693413.1,432
XP_016693919.2,301
XP_016694052.1,262
XP_016694083.2,267
XP_016694274.1,253
XP_016694638.1,247
XP_016694729.1,314
XP_016694769.1,260
XP_016695690.1,290
XP_016695803.1,441
XP_016695944.1,380
XP_016695946.1,380
XP_016696656.2,226
XP_016697564.2,1587
XP_016697565.2,1587
XP_016697566.2,1586
XP_016697909.1,467
XP_016697910.1,259
XP_016698900.1,353
XP_016699001.1,260
XP_016699347.1,339
XP_016699485.1,243
XP_016700190.1,303
XP_016700569.2,1721
XP_016700570.2,1721
XP_016700571.2,1720
XP_016700885.1,292
XP_016701145.2,352
XP_016701413.1,262
XP_016701608.2,258
XP_016701634.1,264
XP_016701831.1,255
XP_016701990.1,352
XP_016702366.1,327
XP_016702373.2,301
XP_016702479.1,537
XP_016703354.1,196
XP_016703892.1,276
XP_016703974.1,258
XP_016704042.1,521
XP_016704052.1,294
XP_016704069.1,256
XP_016704130.2,320
XP_016704131.2,327
XP_016704152.1,100
XP_016704155.1,646
XP_016704185.1,147
XP_016704504.1,258
XP_016704515.1,332
XP_016704521.1,318
XP_016704525.1,340
XP_016704551.1,279
XP_016704621.1,1524
XP_016704624.1,246
XP_016704629.2,387
XP_016705081.1,477
XP_016705082.1,476
XP_016705640.1,297
XP_016705641.1,297
XP_016706746.1,253
XP_016706798.1,352
XP_016707069.1,417
XP_016707070.1,417
XP_016707250.1,534
XP_016708004.1,264
XP_016708781.1,259
XP_016708816.2,764
XP_016708823.2,764
XP_016708829.2,764
XP_016708849.2,764
XP_016708850.1,168
XP_016708917.1,282
XP_016708918.1,282
XP_016708948.1,242
XP_016708949.1,239
XP_016708966.1,359
XP_016709104.2,648
XP_016709324.1,417
XP_016709326.1,384
XP_016709452.1,253
XP_016709501.1,313
XP_016709539.1,259
XP_016709584.1,280
XP_016709837.1,648
XP_016709838.1,648
XP_016709839.1,648
XP_016709948.2,314
XP_016710554.2,442
XP_016710877.1,555
XP_016711059.1,315
XP_016711418.1,170
XP_016711419.1,170
XP_016711527.1,304
XP_016711576.2,156
XP_016712287.2,219
XP_016712483.1,256
XP_016712484.1,318
XP_016712763.2,504
XP_016712792.2,224
XP_016712793.1,225
XP_016712924.2,210
XP_016713029.2,418
XP_016713230.2,961
XP_016713290.1,267
XP_016713294.2,253
XP_016713536.2,515
XP_016714191.2,557
XP_016714192.2,557
XP_016714474.1,228
XP_016714567.2,1027
XP_016714569.2,1027
XP_016714954.1,317
XP_016714997.2,298
XP_016715591.1,242
XP_016715626.2,232
XP_016715853.1,261
XP_016716084.1,481
XP_016716089.1,398
XP_016716195.1,230
XP_016716237.1,696
XP_016716637.1,322
XP_016716891.1,271
XP_016716893.1,254
XP_016716894.1,283
XP_016716909.2,316
XP_016716914.2,278
XP_016717140.1,327
XP_016717208.1,308
XP_016717616.2,262
XP_016717721.2,257
XP_016717753.2,272
XP_016718243.1,341
XP_016718249.1,222
XP_016718327.1,1068
XP_016718328.1,838
XP_016718412.2,336
XP_016718570.1,289
XP_016718605.1,262
XP_016718745.1,315
XP_016718775.1,270
XP_016719337.2,252
XP_016719673.2,254
XP_016720794.1,250
XP_016721177.2,320
XP_016721289.1,340
XP_016721290.2,327
XP_016721315.1,246
XP_016721896.2,230
XP_016721959.1,242
XP_016722048.1,1723
XP_016722049.1,1723
XP_016722141.1,314
XP_016722142.1,302
XP_016722168.1,296
XP_016722658.1,352
XP_016722878.1,309
XP_016723002.1,236
XP_016723168.1,269
XP_016723513.1,276
XP_016723579.2,413
XP_016723612.1,309
XP_016724164.1,297
XP_016724845.2,279
XP_016724909.1,274
XP_016725018.2,958
XP_016725132.2,292
XP_016725568.1,306
XP_016725831.2,313
XP_016725886.1,299
XP_016726575.2,357
XP_016726578.1,262
XP_016726790.1,359
XP_016727107.1,315
XP_016727108.1,313
XP_016727477.2,337
XP_016727502.2,505
XP_016728091.2,449
XP_016728189.1,308
XP_016728597.1,242
XP_016728613.1,290
XP_016728651.1,450
XP_016728740.2,484
XP_016729230.1,195
XP_016729303.1,344
XP_016729529.1,359
XP_016729603.1,244
XP_016729808.1,275
XP_016730345.1,293
XP_016730511.1,1080
XP_016730774.1,314
XP_016730953.1,247
XP_016731006.1,314
XP_016731212.1,170
XP_016731493.1,367
XP_016731763.1,328
XP_016732485.1,233
XP_016732693.1,263
XP_016733400.1,302
XP_016733884.2,352
XP_016734491.2,297
XP_016734652.2,297
XP_016734785.2,352
XP_016735782.1,289
XP_016735783.1,289
XP_016735784.1,289
XP_016735932.2,249
XP_016735933.2,224
XP_016735934.2,200
XP_016736198.2,315
XP_016736375.1,320
XP_016736944.1,263
XP_016736945.1,263
XP_016737404.1,293
XP_016737651.2,225
XP_016737655.1,240
XP_016737656.1,240
XP_016737657.1,240
XP_016737666.1,357
XP_016737751.1,223
XP_016737768.1,318
XP_016737773.1,275
XP_016738120.2,271
XP_016738141.1,259
XP_016738951.1,294
XP_016738956.2,476
XP_016739048.1,356
XP_016739049.1,356
XP_016739095.1,331
XP_016739176.1,256
XP_016739284.2,1002
XP_016739399.1,359
XP_016739524.1,230
XP_016739556.1,300
XP_016740141.1,285
XP_016740344.1,235
XP_016740582.1,269
XP_016740583.1,248
XP_016740731.1,303
XP_016741249.1,328
XP_016741272.2,317
XP_016741305.1,306
XP_016741312.1,331
XP_016741798.1,246
XP_016742029.2,224
XP_016742154.2,429
XP_016742161.2,413
XP_016743321.1,327
XP_016743360.1,249
XP_016743496.1,296
XP_016743564.2,275
XP_016743613.2,295
XP_016743760.1,403
XP_016743792.1,331
XP_016744071.1,326
XP_016744073.1,326
XP_016744076.1,287
XP_016744077.1,287
XP_016744078.1,287
XP_016744742.2,1014
XP_016744743.2,1014
XP_016744798.2,283
XP_016744843.1,163
XP_016745045.1,264
XP_016745046.1,228
XP_016745174.1,469
XP_016745283.2,331
XP_016745431.1,431
XP_016745626.1,364
XP_016745627.1,295
XP_016745702.1,275
XP_016746012.1,296
XP_016746377.1,278
XP_016746411.1,234
XP_016746590.2,648
XP_016746591.2,651
XP_016746592.2,651
XP_016746593.2,648
XP_016746594.2,648
XP_016746595.2,648
XP_016746596.2,648
XP_016746598.2,555
XP_016746599.2,555
XP_016746699.1,282
XP_016747660.1,262
XP_016747675.1,250
XP_016747792.2,351
XP_016748042.2,296
XP_016748151.1,568
XP_016748196.2,556
XP_016748197.2,556
XP_016748198.2,556
XP_016748199.2,556
XP_016748200.2,556
XP_016748490.1,281
XP_016748813.1,340
XP_016748992.2,365
XP_016749184.1,295
XP_016749330.2,298
XP_016749598.1,193
XP_016749647.1,385
XP_016749648.1,385
XP_016749692.1,353
XP_016749852.1,322
XP_016750650.1,310
XP_016751105.1,260
XP_016751741.1,469
XP_016751956.1,79
XP_016752574.1,190
XP_016752886.1,234
XP_016752911.1,213
XP_016753002.1,199
XP_016753985.1,203
XP_016754751.1,246
XP_016754846.1,205
XP_016754944.2,371
XP_016755405.1,306
XP_016755472.1,248
XP_016755547.1,268
XP_016755977.1,269
XP_016755978.1,248
XP_040931009.1,315
XP_040931605.1,236
XP_040932430.1,484
XP_040932431.1,484
XP_040932433.1,484
XP_040932434.1,484
XP_040932435.1,484
XP_040932436.1,484
XP_040932437.1,484
XP_040932438.1,484
XP_040932439.1,484
XP_040932440.1,484
XP_040932441.1,484
XP_040932660.1,342
XP_040932745.1,551
XP_040932862.1,184
XP_040933229.1,261
XP_040933733.1,295
XP_040936033.1,374
XP_040936092.1,328
XP_040936104.1,248
XP_040936262.1,306
XP_040936485.1,310
XP_040936516.1,290
XP_040936545.1,270
XP_040936899.1,280
XP_040936953.1,732
XP_040936954.1,732
XP_040936955.1,732
XP_040936956.1,732
XP_040936957.1,732
XP_040936958.1,732
XP_040936959.1,732
XP_040936960.1,732
XP_040936961.1,634
XP_040937812.1,310
XP_040938084.1,494
XP_040938085.1,320
XP_040938775.1,280
XP_040938789.1,765
XP_040938790.1,765
XP_040938791.1,765
XP_040938792.1,765
XP_040938793.1,765
XP_040938794.1,765
XP_040938795.1,765
XP_040938796.1,765
XP_040938797.1,765
XP_040938798.1,765
XP_040938799.1,764
XP_040938800.1,764
XP_040938801.1,764
XP_040938802.1,764
XP_040938803.1,736
XP_040938804.1,736
XP_040938805.1,736
XP_040938806.1,736
XP_040938807.1,736
XP_040938808.1,736
XP_040938809.1,736
XP_040938810.1,736
XP_040938811.1,736
XP_040938812.1,726
XP_040938813.1,697
XP_040938814.1,697
