gene_id	domain_count
NP_001313658.1	2
NP_001313671.1	2
NP_001313712.1	2
NP_001313729.1	2
NP_001313732.1	2
NP_001313733.1	3
NP_001313761.1	2
NP_001313782.1	2
NP_001313901.1	2
NP_001313996.2	2
NP_001314002.1	2
NP_001314009.1	3
NP_001314241.2	2
NP_001314273.1	2
NP_001314278.1	2
NP_001314333.1	2
NP_001314346.1	2
NP_001314377.1	2
NP_001314379.1	2
NP_001314438.1	3
NP_001314470.1	2
NP_001314513.2	2
NP_001314544.1	2
NP_001314639.1	2
NP_001314640.1	2
NP_001314647.1	2
XP_016665889.1	2
XP_016666216.1	2
XP_016666455.1	2
XP_016666456.1	2
XP_016666636.1	2
XP_016666975.1	1
XP_016666976.1	1
XP_016667150.1	2
XP_016667667.1	3
XP_016667750.1	2
XP_016668242.1	2
XP_016668340.1	2
XP_016668410.1	2
XP_016668457.2	2
XP_016668580.2	2
XP_016668730.2	2
XP_016669030.1	2
XP_016669207.1	2
XP_016669569.2	2
XP_016669766.2	1
XP_016669789.2	2
XP_016669800.1	2
XP_016670096.1	2
XP_016670212.2	2
XP_016670881.1	2
XP_016670915.1	2
XP_016671094.1	2
XP_016671119.1	2
XP_016671120.1	2
XP_016671186.1	3
XP_016671673.1	2
XP_016671854.2	2
XP_016671897.1	2
XP_016672005.1	5
XP_016672077.2	2
XP_016672334.2	2
XP_016672575.1	2
XP_016672712.1	2
XP_016672801.1	2
XP_016672956.1	2
XP_016673192.2	2
XP_016673537.1	2
XP_016673611.1	2
XP_016674344.1	2
XP_016674394.1	2
XP_016674587.1	2
XP_016674613.1	2
XP_016674614.1	2
XP_016674758.1	2
XP_016674759.1	2
XP_016674760.1	2
XP_016675131.2	2
XP_016675462.1	2
XP_016675463.2	2
XP_016675536.1	2
XP_016675537.1	3
XP_016675549.1	2
XP_016675555.1	3
XP_016675583.2	2
XP_016675596.1	2
XP_016675835.1	2
XP_016676099.1	2
XP_016676400.2	2
XP_016676657.1	2
XP_016677048.1	2
XP_016677072.2	3
XP_016677073.2	3
XP_016677339.1	2
XP_016677671.1	3
XP_016677949.1	2
XP_016679354.2	2
XP_016679585.2	1
XP_016679586.2	1
XP_016679736.2	2
XP_016679904.2	2
XP_016679905.2	2
XP_016679990.1	2
XP_016680054.1	3
XP_016680480.1	2
XP_016680481.1	2
XP_016681431.1	2
XP_016681441.2	2
XP_016681523.1	3
XP_016681608.2	3
XP_016681609.2	3
XP_016681610.2	3
XP_016681611.2	4
XP_016681614.2	2
XP_016681927.2	2
XP_016682021.1	2
XP_016682108.1	1
XP_016682109.1	1
XP_016682318.1	2
XP_016682405.1	2
XP_016682496.1	1
XP_016683110.1	3
XP_016683111.1	3
XP_016683112.1	3
XP_016683540.1	2
XP_016683866.2	2
XP_016684430.1	2
XP_016684612.1	2
XP_016685607.1	2
XP_016686209.2	2
XP_016686263.2	2
XP_016686647.1	2
XP_016686648.1	2
XP_016686650.1	2
XP_016686653.2	2
XP_016686722.2	2
XP_016686750.1	2
XP_016686751.1	2
XP_016686752.1	2
XP_016686753.1	2
XP_016686896.1	2
XP_016686964.1	2
XP_016687177.1	2
XP_016687245.2	2
XP_016687436.1	2
XP_016687596.1	2
XP_016687916.1	1
XP_016687970.1	1
XP_016688378.1	2
XP_016688445.1	2
XP_016688505.1	1
XP_016689129.1	2
XP_016689707.2	2
XP_016689734.1	2
XP_016690362.1	2
XP_016690581.2	2
XP_016690934.2	2
XP_016690942.1	2
XP_016690953.1	2
XP_016691380.1	2
XP_016691508.2	2
XP_016691525.1	1
XP_016691648.1	3
XP_016691860.1	2
XP_016691861.1	2
XP_016691862.1	2
XP_016692092.2	2
XP_016692279.1	2
XP_016693253.1	2
XP_016693412.1	2
XP_016693413.1	2
XP_016693919.2	2
XP_016694052.1	2
XP_016694083.2	2
XP_016694274.1	2
XP_016694638.1	2
XP_016694729.1	2
XP_016694769.1	2
XP_016695690.1	2
XP_016695803.1	2
XP_016695944.1	2
XP_016695946.1	2
XP_016696656.2	2
XP_016697564.2	2
XP_016697565.2	2
XP_016697566.2	2
XP_016697909.1	2
XP_016697910.1	1
XP_016698900.1	3
XP_016699001.1	2
XP_016699347.1	2
XP_016699485.1	2
XP_016700190.1	2
